z,y,x,s,t
11.5,193.0,305.5,225.29536169215734,1
14.0,415.0,321.0,229.80208876335305,1
8.5,248.5,325.0,47.10626285325551,1
17.0,370.5,328.5,42.96510211788167,1
14.5,171.5,364.5,225.29536169215734,1
27.5,393.5,383.0,229.80208876335305,1
8.5,175.0,389.0,225.29536169215734,1
6.5,227.5,417.0,48.176757881783615,1
3.0,273.5,420.0,61.75759062657804,1
14.0,385.0,427.5,84.10112960002381,1
6.5,168.5,432.0,52.40229002629561,1
2.0,225.5,451.5,29.427877939124322,1
14.5,198.0,453.0,40.47221268969612,1
9.5,373.5,458.5,84.10112960002381,1
10.5,151.0,477.5,108.57716150277645,1
3.5,261.0,481.0,77.30459236035075,1
15.5,327.0,496.0,62.71363488110062,1
21.5,155.5,517.5,108.57716150277645,1
14.5,364.5,572.0,49.50757517794625,1
14.0,153.0,578.0,49.07137658554119,1
28.0,174.5,1141.5,76.11832893594026,1
27.0,176.0,1168.0,76.11832893594026,1
13.0,482.5,102.0,71.73562573784382,2
14.5,302.0,138.0,49.68903299521938,2
16.0,238.0,154.0,76.97402159170326,2
8.5,293.5,198.5,59.06775770248944,2
15.5,445.0,225.5,152.6106156202772,2
18.5,169.5,228.5,87.66413177577246,2
27.0,375.5,246.5,63.96092557178953,2
17.0,437.5,253.0,152.6106156202772,2
17.0,160.0,263.0,87.66413177577246,2
13.0,271.5,265.0,77.98717843338096,2
16.5,424.0,284.0,152.6106156202772,2
14.0,475.5,298.0,72.8285658241325,2
15.0,188.5,320.5,135.85654198455074,2
7.5,251.5,331.0,45.880278987817846,2
17.0,373.0,334.0,35.2845575287547,2
15.5,177.0,370.0,135.85654198455074,2
21.5,395.0,380.5,98.1936861514018,2
6.5,177.5,398.5,135.85654198455074,2
3.0,279.5,402.5,70.22107945624305,2
7.0,230.5,422.0,49.49747468305833,2
14.0,387.0,431.0,82.58934555982388,2
3.0,273.5,432.5,70.22107945624305,2
6.0,170.0,437.5,53.40411969127476,2
15.0,200.0,457.5,37.69615364994153,2
7.5,374.5,462.0,82.58934555982388,2
14.0,154.0,483.0,108.70602559196064,2
3.5,261.5,486.0,75.51158851461145,2
10.0,330.5,495.5,62.24146527838174,2
21.5,160.0,524.0,108.70602559196064,2
13.5,367.5,577.5,47.53945729601885,2
27.5,175.5,1124.0,72.02777242147643,2
27.0,177.0,1147.0,72.02777242147643,2
27.0,488.0,3.0,40.755367744629666,3
13.0,482.0,104.0,74.52516353554684,3
15.0,304.5,142.0,40.01249804748511,3
18.0,238.5,163.0,83.16249154516716,3
15.0,442.5,226.5,156.78647900887373,3
20.0,170.5,232.5,87.66413177577246,3
13.5,269.5,242.0,39.319206502675,3
27.0,377.0,251.5,72.069410986909,3
14.5,437.0,254.5,156.78647900887373,3
18.5,160.0,268.5,87.66413177577246,3
14.0,424.5,287.0,156.78647900887373,3
27.0,263.5,288.0,45.81484475582123,3
8.5,245.5,336.0,47.686476070265456,3
16.5,373.5,339.0,38.84584919911006,3
14.5,184.5,345.0,137.17507062145074,3
15.0,403.5,364.0,102.34256201600583,3
27.5,400.5,392.0,102.34256201600583,3
6.5,175.0,399.5,137.17507062145074,3
3.5,278.0,405.0,46.05431575867782,3
7.5,229.0,428.0,51.76871642217914,3
15.0,385.0,434.5,83.18653737234169,3
3.0,270.5,438.0,43.41658669218482,3
6.5,169.5,446.0,86.70640114778148,3
15.0,199.5,463.5,86.70640114778148,3
7.5,374.0,464.0,83.18653737234169,3
3.0,259.0,489.5,75.51158851461145,3
6.0,327.5,489.5,68.66585760041157,3
16.5,154.5,490.0,114.12712210513327,3
16.5,331.0,514.0,68.66585760041157,3
22.0,161.5,532.5,114.12712210513327,3
1.5,314.0,548.5,21.118712081942874,3
12.5,367.0,582.5,51.12729212465687,3
27.5,174.5,1102.5,72.34638899074369,3
27.0,173.5,1125.5,72.34638899074369,3
14.5,441.0,226.5,68.7749954561976,4
18.5,169.5,236.0,30.675723300355934,4
14.0,433.0,255.0,68.7749954561976,4
26.5,381.5,256.5,65.7419196555744,4
20.5,159.5,273.5,56.444663166680336,4
13.5,422.0,287.0,40.01249804748511,4
11.5,188.0,319.5,62.10475022089695,4
16.0,412.5,327.5,66.75327707311455,4
9.0,245.0,339.5,34.64101615137755,4
14.0,401.5,367.0,95.69221493935649,4
11.5,171.0,392.5,71.17583859709698,4
27.0,402.0,398.5,95.69221493935649,4
2.0,273.5,409.0,28.0178514522438,4
8.5,225.5,430.5,51.90375708944392,4
11.5,382.5,437.5,57.706152185014034,4
2.5,266.0,442.0,36.71511950137164,4
7.0,164.0,447.0,55.072679252057455,4
7.0,369.5,468.5,42.871902220452036,4
3.0,253.0,493.0,74.53187237685633,4
3.0,323.0,493.0,41.42463035441596,4
10.0,156.0,495.0,111.31936040060597,4
15.0,330.0,522.5,45.70557952810576,4
22.5,164.0,536.0,111.31936040060597,4
11.0,364.0,588.0,45.12205669071391,4
26.5,176.5,1085.5,65.25335240430181,4
15.0,469.0,231.0,70.95068710026705,5
27.5,411.0,262.5,69.34695379034324,5
21.5,187.0,278.0,51.894122981316485,5
16.0,450.5,293.0,23.769728648009426,5
12.5,215.0,324.0,62.89674077406555,5
16.0,438.5,331.0,67.446274915669,5
7.5,270.0,344.0,42.24926034855522,5
13.5,429.0,370.5,97.3755616158387,5
11.5,196.5,397.5,71.72865536171719,5
27.0,433.0,404.0,97.3755616158387,5
2.5,297.5,412.5,40.3732584763727,5
7.0,251.5,435.0,52.46903848937962,5
13.0,409.5,439.5,59.464274989274024,5
3.0,291.0,446.0,40.3732584763727,5
7.5,187.0,451.0,54.71745608121781,5
6.5,393.0,471.0,42.2965719651132,5
3.5,348.0,495.5,44.68780594300866,5
3.5,279.0,497.5,74.3370701601832,5
13.0,184.5,501.0,68.4470598345904,5
16.0,358.0,526.5,48.55924216871593,5
21.5,204.0,551.5,55.53377350765928,5
10.0,391.0,591.5,45.12205669071391,5
27.0,2.5,758.0,32.01562118716424,5
27.0,205.0,1055.5,60.489668539346454,5
15.0,246.0,144.5,24.839484696748443,6
16.5,440.5,240.0,72.48448109768049,6
14.5,433.5,264.5,72.48448109768049,6
21.5,161.5,283.5,50.6458290484024,6
13.5,419.5,297.5,39.0,6
13.0,187.0,332.0,63.4428877022476,6
15.0,410.5,336.5,69.36137253543934,6
8.0,241.5,353.0,42.871902220452036,6
13.5,401.5,379.0,99.45350672550465,6
17.5,170.5,394.5,79.21489758877429,6
26.5,410.0,412.0,99.45350672550465,6
2.5,270.5,416.0,38.02630668366309,6
7.0,167.5,418.5,79.21489758877429,6
7.5,224.5,440.5,53.178943201233324,6
14.0,382.5,446.5,63.150613615387776,6
2.5,263.0,455.0,38.02630668366309,6
7.0,161.0,461.0,53.40411969127476,6
7.0,365.0,478.5,43.508619835614184,6
3.5,321.0,504.0,46.69047011971501,6
3.0,250.5,504.5,74.47147104764348,6
12.5,161.0,508.0,72.93833011524188,6
16.0,332.5,534.5,48.05205510693585,6
10.0,364.0,600.5,46.9148164229596,6
26.5,179.0,1030.5,55.94640292279746,6
18.5,238.0,146.0,45.232731511594565,7
16.5,262.5,201.5,38.691084244306204,7
14.5,438.5,236.0,172.9566419655516,7
13.0,430.0,272.5,172.9566419655516,7
20.5,161.0,287.5,55.33534132902769,7
13.0,418.0,291.5,172.9566419655516,7
27.0,269.5,303.0,48.95916665957459,7
14.5,185.0,332.0,66.75327707311455,7
12.5,420.5,340.5,172.9566419655516,7
17.5,376.5,349.5,172.9566419655516,7
8.5,240.5,352.0,50.6458290484024,7
14.0,400.5,378.5,113.6001760562016,7
17.5,171.0,390.5,91.53687781435414,7
27.5,247.5,408.0,38.06573262134856,7
26.0,412.5,414.0,113.6001760562016,7
2.5,266.5,425.0,141.1878181713989,7
6.0,167.0,427.0,91.53687781435414,7
8.0,221.0,441.0,55.749439459065414,7
15.0,379.5,447.0,92.5418824100742,7
3.5,258.0,457.0,141.1878181713989,7
7.5,364.0,478.5,92.5418824100742,7
4.5,320.0,507.0,54.08326913195984,7
12.5,160.5,510.0,77.4919350642375,7
3.5,304.5,555.5,45.34313619501854,7
5.0,217.5,597.5,38.18376618407357,7
10.5,364.5,602.0,51.894122981316485,7
26.5,180.5,997.0,49.82971001320397,7
16.0,230.5,140.0,32.93933818400121,8
17.5,258.5,199.5,27.748873851023216,8
14.0,434.0,234.5,110.13173929435601,8
14.0,423.0,262.0,110.13173929435601,8
12.0,413.0,290.5,110.13173929435601,8
13.0,178.5,331.5,68.07348970047003,8
15.5,403.0,333.5,75.52483035399682,8
9.0,236.5,350.5,50.78385570237849,8
14.0,395.5,375.0,118.76447280226525,8
17.5,169.0,384.5,91.18662182579197,8
28.5,244.0,404.0,27.0,8
25.0,409.5,414.0,118.76447280226525,8
8.0,152.0,419.5,91.18662182579197,8
3.0,262.0,423.5,43.01162633521314,8
15.0,376.0,445.0,94.64142856064674,8
3.5,252.0,458.5,87.16650732936361,8
7.0,360.0,477.0,94.64142856064674,8
3.5,316.0,505.0,56.142675390472796,8
3.0,246.0,509.0,76.64854858377946,8
11.5,156.0,510.5,75.63068160475615,8
3.0,300.0,552.0,42.34383071948026,8
9.0,360.5,601.0,49.4064773081425,8
17.5,227.0,138.5,48.88762624632127,9
16.0,254.0,196.0,46.411205543489174,9
15.0,424.5,228.0,112.5921844534513,9
17.5,379.0,231.5,35.4400902933387,9
13.5,418.0,262.5,112.5921844534513,9
11.5,410.5,285.5,112.5921844534513,9
27.5,269.0,299.0,35.41186241925155,9
13.0,173.0,331.5,146.5639792036229,9
13.5,402.5,333.5,144.35026844450272,9
9.0,234.0,351.0,53.94441583704471,9
15.0,391.0,373.5,144.35026844450272,9
14.0,137.0,379.5,146.5639792036229,9
12.5,326.0,387.0,39.774363602702685,9
16.5,167.5,388.5,146.5639792036229,9
27.0,243.0,405.0,46.54030511288038,9
26.5,404.5,408.5,144.35026844450272,9
13.5,138.5,414.5,146.5639792036229,9
3.0,258.0,424.0,177.2737995305567,9
15.0,385.0,445.5,107.07474025184464,9
3.0,249.5,453.0,177.2737995305567,9
7.0,356.5,478.0,107.07474025184464,9
8.0,147.5,503.0,56.894639466297704,9
4.0,313.0,507.0,61.40846847137616,9
3.0,243.0,509.5,177.2737995305567,9
3.5,297.5,554.0,46.66904755831214,9
16.5,380.0,554.5,26.720778431774775,9
10.0,357.5,600.5,55.758407437802596,9
16.5,252.0,199.0,44.50842616853577,10
16.5,377.0,228.5,45.2990066116245,10
15.0,428.5,234.5,111.89280584559492,10
13.0,416.5,265.0,111.89280584559492,10
13.0,408.5,290.5,111.89280584559492,10
12.5,400.0,337.0,118.86967653695369,10
16.0,173.5,338.0,75.2994023880668,10
8.0,231.0,356.0,48.28043081829324,10
15.5,393.5,382.5,118.86967653695369,10
14.5,326.5,388.5,42.36744032862972,10
16.5,161.0,402.0,76.68115805072325,10
3.5,255.0,429.5,121.92620719107111,10
15.5,383.5,448.5,103.62914647916386,10
3.0,245.0,458.5,121.92620719107111,10
7.5,355.5,483.5,103.62914647916386,10
4.0,305.5,512.5,50.00999900019995,10
3.0,242.5,514.5,74.75961476626267,10
3.5,295.0,559.5,45.02221673796171,10
9.0,356.5,608.0,53.150729063673246,10
16.0,253.0,200.5,40.52159917870962,11
17.0,376.5,231.0,42.91852746774987,11
13.5,406.0,293.0,180.47160441465576,11
27.5,269.5,302.0,23.727621035409346,11
14.5,174.5,344.0,82.86132994346639,11
8.5,230.0,362.0,50.6458290484024,11
15.5,164.5,408.0,62.65780079128216,11
3.0,252.0,436.0,169.43730403898664,11
8.0,361.5,451.5,84.19619943916709,11
2.5,243.5,473.5,169.43730403898664,11
7.5,354.5,484.5,84.19619943916709,11
3.5,239.5,509.5,169.43730403898664,11
4.0,302.5,517.5,49.01020301937138,11
13.0,179.0,534.0,45.70557952810576,11
3.0,294.0,567.0,43.669211121796096,11
10.5,355.5,612.5,56.73623181001713,11
16.5,249.5,195.5,42.17819341792628,12
13.5,411.5,271.5,126.2774722585149,12
13.5,400.5,295.5,126.2774722585149,12
28.0,267.0,299.5,25.337718918639855,12
8.5,224.0,358.5,47.53945729601885,12
13.0,128.0,386.0,35.86084215408221,12
3.0,249.0,433.5,66.30987860040162,12
8.5,356.0,448.0,89.5377015563835,12
10.0,192.5,454.0,72.74613391789285,12
3.0,237.0,471.0,83.773504164503,12
7.5,350.0,484.5,89.5377015563835,12
1.0,242.5,506.5,83.773504164503,12
26.5,4.0,513.5,43.37049688440288,12
4.5,299.5,517.5,52.354560450833695,12
16.0,247.5,198.0,52.364109846344185,13
12.5,410.5,272.5,81.05553651663777,13
13.0,399.0,300.0,81.05553651663777,13
8.5,221.0,364.5,45.18849411078001,13
13.0,124.5,387.5,57.39337940912697,13
12.0,117.5,433.0,48.05205510693585,13
3.5,244.5,438.5,129.6495275733776,13
8.0,356.5,455.5,89.69392398596462,13
3.5,235.0,482.5,47.75981574503821,13
7.0,346.5,491.5,89.69392398596462,13
26.5,3.0,502.0,56.19608527290847,13
4.5,296.5,521.5,55.614746245937326,13
4.0,226.5,540.5,52.44044240850758,13
3.0,285.0,569.0,43.37049688440288,13
19.0,219.5,138.5,48.176757881783615,14
14.0,246.0,196.0,67.70524351924303,14
14.0,406.5,267.5,92.47702417357513,14
14.5,397.0,304.0,92.47702417357513,14
10.0,220.0,362.5,49.36598018878993,14
14.5,120.0,390.5,103.65809182114053,14
15.5,117.5,435.5,103.65809182114053,14
2.5,240.0,454.5,92.89779329994873,14
7.0,353.0,456.5,92.62289133902051,14
26.5,14.0,463.0,76.94803441284255,14
6.5,344.0,491.0,92.62289133902051,14
4.0,292.5,522.0,58.60034129593445,14
4.0,221.5,543.0,52.40229002629561,14
4.5,281.0,577.5,55.614746245937326,14
8.0,324.0,114.0,47.29693436154187,15
18.5,218.0,136.5,57.723478758647246,15
13.0,244.5,193.5,74.62573282722254,15
12.5,403.0,264.5,99.92997548283498,15
11.5,212.0,363.0,52.49761899362675,15
26.5,26.0,431.0,78.77816956492453,15
4.0,156.0,457.5,44.14748010928823,15
6.0,351.0,457.5,93.83496150156401,15
4.0,229.0,478.0,62.64982043070834,15
15.0,399.5,492.5,27.2213151776324,15
6.5,339.0,496.0,93.83496150156401,15
1.5,149.5,511.5,28.142494558940577,15
3.5,287.0,523.0,61.773780845922005,15
27.5,332.5,538.0,37.134889255254286,15
3.5,215.5,544.5,54.04627646748664,15
16.0,367.5,565.5,58.215118311311535,15
4.0,273.5,579.5,61.07372593840988,15
16.0,323.5,667.0,53.563046963368315,15
6.5,339.5,67.5,40.52159917870962,16
8.0,325.0,111.5,55.33534132902769,16
16.5,222.5,134.0,63.60031446463138,16
17.0,248.0,192.5,77.31106001084191,16
8.0,201.0,243.5,44.57577817604534,16
12.5,404.5,263.5,39.293765408777,16
12.0,401.5,304.5,84.20213774008353,16
14.0,350.5,358.0,48.92851929090027,16
9.0,212.0,363.0,50.60632371551998,16
27.0,40.5,396.0,75.92759709091287,16
2.0,280.0,451.0,29.086079144497972,16
5.5,154.5,457.5,48.43552415324934,16
3.5,226.5,480.0,64.79197481170026,16
16.0,336.5,483.0,43.46262762420146,16
17.0,400.0,492.0,61.514225996918796,16
4.5,144.0,510.0,51.419840528729765,16
2.5,283.0,525.0,69.54135460285484,16
25.0,334.0,534.0,55.35341001239219,16
4.0,212.0,547.5,56.142675390472796,16
15.5,370.5,563.5,68.42514157822401,16
14.5,323.5,669.0,59.14389233048498,16
8.0,347.0,69.5,49.05099387372289,17
9.5,333.5,112.5,58.12916651733448,17
15.0,258.0,189.5,72.5120679611332,17
8.5,207.5,241.5,53.81449618829484,17
12.5,409.5,262.5,32.49615361854384,17
10.0,409.5,305.5,89.52094726934027,17
27.0,253.0,320.0,84.970583144992,17
26.5,251.0,355.0,84.970583144992,17
13.5,357.5,358.5,59.824744044584094,17
27.0,62.5,359.5,65.0384501660364,17
7.5,217.0,362.5,43.977266854592045,17
4.0,246.5,409.5,47.10626285325551,17
1.5,283.5,454.5,27.09243436828813,17
6.0,159.0,459.0,48.83646178829912,17
3.0,230.0,481.0,68.19824044651006,17
15.5,342.5,484.0,57.175169435691224,17
2.5,306.0,485.0,39.370039370059054,17
13.5,411.5,491.0,74.26977851050857,17
5.0,149.5,509.5,54.0740233383831,17
27.0,342.5,533.0,33.76388603226827,17
4.0,214.0,550.0,56.789083458002736,17
15.5,387.0,563.5,77.78817390837762,17
20.5,364.5,568.0,77.78817390837762,17
7.5,348.0,71.5,89.02808545621994,18
6.5,337.0,106.5,89.02808545621994,18
9.0,401.0,303.5,76.6355009117837,18
2.5,228.0,481.5,67.48333127521195,18
16.5,342.5,482.5,56.124860801609124,18
4.0,211.0,549.5,53.693575034635195,18
17.5,381.0,563.0,73.25298628724975,18
3.5,356.0,63.0,43.37049688440288,19
5.0,325.5,102.0,75.11324783285569,19
4.0,350.5,106.0,75.11324783285569,19
27.0,92.5,274.0,43.55456348076513,19
18.0,446.5,303.0,108.44814429025514,19
15.0,146.5,323.0,52.87721626560914,19
4.5,264.5,338.5,59.57348403442592,19
12.0,220.5,363.0,48.176757881783615,19
4.5,242.0,412.0,63.66317616958802,19
3.5,277.5,454.0,46.66904755831214,19
26.5,153.5,462.0,57.59340239992772,19
4.0,225.5,482.5,66.82065548915246,19
2.5,301.0,485.5,40.01249804748511,19
13.5,345.0,487.5,79.64923100695951,19
3.5,210.0,550.5,62.185207244167,19
15.0,400.0,565.0,97.14422267947796,19
19.5,359.0,574.0,97.14422267947796,19
7.0,300.5,579.0,85.28774824088158,19
12.0,294.0,616.0,85.28774824088158,19
27.0,3.0,16.5,45.89117562233506,20
28.0,115.0,229.0,37.36308338453881,20
15.0,159.0,279.0,40.570925550201586,20
14.0,398.0,279.5,54.18486873657626,20
16.0,451.5,304.5,69.36137253543934,20
14.5,158.0,323.5,59.39696961966999,20
4.0,271.0,342.5,64.93843238021688,20
13.0,226.5,365.0,46.9148164229596,20
4.5,247.5,416.0,86.1278120005379,20
4.5,281.5,457.5,50.695167422546305,20
3.0,230.0,485.5,71.02816342831905,20
3.5,309.0,489.5,46.69047011971501,20
22.0,344.5,500.5,66.76825593049439,20
16.0,410.0,524.5,114.9695611890382,20
3.0,216.0,555.5,65.06150935845248,20
19.0,367.5,575.0,114.9695611890382,20
11.5,305.5,580.5,90.89004345911603,20
14.0,301.5,620.0,90.89004345911603,20
16.5,132.5,648.0,31.76476034853718,20
24.0,6.5,5.0,32.01562118716424,21
15.0,297.0,135.0,43.54308211415448,21
26.0,129.0,189.5,78.44743462982075,21
12.5,262.5,260.5,42.86023798347368,21
13.5,400.5,284.0,84.2436941260294,21
28.0,318.0,289.0,34.36568055487916,21
16.0,155.0,328.0,55.33534132902769,21
3.5,271.0,345.0,65.87108622149782,21
10.0,446.0,346.5,105.66456359631643,21
17.0,410.5,347.5,31.400636936215164,21
27.0,36.5,365.5,50.93132631298737,21
15.5,224.0,366.5,146.26004239025778,21
12.5,367.0,400.0,58.66856057549052,21
15.0,206.5,405.0,146.26004239025778,21
10.5,314.5,410.5,25.495097567963924,21
5.0,248.5,418.5,146.26004239025778,21
4.0,279.0,464.5,60.29925372672534,21
18.0,143.5,466.0,53.55371135598354,21
27.5,353.0,476.0,124.09673645990857,21
3.5,307.0,494.5,52.09606511052442,21
2.5,262.5,505.5,33.71943060017473,21
8.5,187.5,517.5,51.254268114957995,21
14.5,413.0,523.5,147.6685477683044,21
4.0,258.0,548.5,42.906875905849866,21
18.5,381.5,579.5,147.6685477683044,21
13.0,308.0,582.5,107.14942836991712,21
16.0,140.0,587.5,45.89117562233506,21
4.5,243.0,591.0,47.916594202843754,21
18.0,373.0,639.5,61.72519744804386,21
15.0,137.5,653.5,50.46781152378217,21
11.5,274.5,673.5,42.24926034855522,21
16.0,307.0,701.5,47.47630988187688,21
17.0,406.0,283.0,74.19568720619817,22
14.5,465.5,303.5,77.95511529078769,22
3.0,275.5,344.0,71.47726911403373,22
4.0,448.5,344.0,33.49626844888845,22
12.5,231.5,371.0,32.4037034920393,22
15.0,373.0,399.5,50.1398045468867,22
16.5,212.0,402.0,49.49747468305833,22
3.0,254.5,419.5,67.3721010508059,22
4.0,282.5,463.5,60.21627686929839,22
28.5,351.5,489.5,94.00531899844816,22
27.5,383.0,489.5,94.00531899844816,22
4.0,312.0,494.5,51.39066063011839,22
16.0,425.5,529.0,71.11258679024411,22
10.0,312.5,587.5,77.18160402582988,22
4.0,248.0,594.0,44.19275958796871,22
10.0,309.5,618.5,77.18160402582988,22
14.5,383.0,640.0,55.937465083787984,22
27.0,147.0,101.0,59.033888572581766,23
4.0,367.5,199.0,48.7134478352744,23
15.5,412.0,287.0,82.86736390159881,23
13.5,476.0,304.5,79.96249120681522,23
12.0,254.0,377.5,76.34133873596926,23
16.5,380.0,404.0,59.39696961966999,23
3.5,257.5,424.0,65.64297372910524,23
4.0,286.5,466.0,60.21627686929839,23
27.5,408.5,493.0,109.85900054160332,23
28.0,368.0,496.0,109.85900054160332,23
4.0,317.0,497.5,54.08326913195984,23
3.0,269.5,509.0,40.422765862815474,23
7.5,197.0,526.0,45.32107677449864,23
26.5,306.0,526.5,51.73973328110612,23
18.0,436.0,530.0,81.7312669668102,23
11.0,319.5,591.0,88.31760866327846,23
5.5,252.5,599.0,54.79963503528103,23
23.5,166.5,605.0,45.65084884205331,23
9.5,314.5,625.5,88.31760866327846,23
16.5,330.0,712.0,43.60045871318328,23
26.5,141.0,53.5,49.82971001320397,24
5.0,359.0,180.5,59.472682804797024,24
15.5,403.0,272.0,75.0066663703967,24
14.0,468.0,291.0,81.7312669668102,24
3.0,312.0,351.0,41.689327171351664,24
3.0,250.0,394.5,187.18172987767795,24
3.5,276.0,452.0,187.18172987767795,24
22.0,160.0,468.5,19.209372712298546,24
29.0,346.5,474.0,113.28283188550682,24
26.5,407.0,479.0,113.28283188550682,24
4.0,307.5,483.0,187.18172987767795,24
3.5,260.0,498.0,46.05431575867782,24
27.0,301.5,514.0,57.706152185014034,24
7.5,187.0,516.5,46.561786907291264,24
15.0,427.5,519.5,81.69455306200041,24
6.0,243.0,587.5,56.1159513863928,24
8.5,304.0,611.0,53.1224999411737,24
4.5,278.5,669.5,32.93933818400121,24
15.5,323.5,700.5,46.9148164229596,24
27.0,154.5,7.0,39.824615503479755,25
18.0,319.0,106.0,45.12205669071391,25
4.5,368.5,185.0,64.7533782902483,25
10.0,272.0,252.0,21.42428528562855,25
3.5,341.5,271.5,49.416596402423345,25
17.0,478.5,295.5,79.91245209602819,25
3.0,326.0,313.0,50.0999001995014,25
4.0,318.5,355.5,53.44155686354955,25
15.5,489.0,368.5,35.25620512760839,25
2.0,351.0,371.5,33.74907406137241,25
6.0,265.5,382.0,66.88049042882386,25
1.5,277.0,461.0,124.0806189539688,25
25.0,169.5,479.5,39.395431207184416,25
25.0,373.0,486.5,69.06518659932803,25
3.5,318.0,491.5,124.0806189539688,25
15.0,442.5,499.5,41.737273509418415,25
3.5,270.5,504.5,124.0806189539688,25
7.0,197.5,523.0,42.8485705712571,25
15.0,426.5,538.5,52.478567053607705,25
5.0,254.0,597.5,61.514225996918796,25
9.0,315.5,620.5,58.39520528262573,25
4.0,290.5,678.0,27.712812921102035,25
16.5,337.5,710.5,49.24428900898052,25
3.5,363.0,190.5,58.59180830116101,26
16.5,273.5,258.5,58.08614292583042,26
3.0,339.5,280.0,156.93629280698585,26
3.5,326.5,320.0,156.93629280698585,26
14.5,400.5,321.5,53.319789947073126,26
3.0,316.0,362.5,156.93629280698585,26
16.0,499.5,373.5,66.1362230551458,26
3.5,349.0,378.5,156.93629280698585,26
10.5,260.5,387.0,76.06576102294646,26
26.5,454.0,411.0,54.3323108288245,26
24.5,187.0,443.0,34.07345007480164,26
15.5,225.0,449.0,45.2990066116245,26
3.0,281.5,472.5,102.44022647378324,26
24.0,179.5,490.5,55.74047003748713,26
15.0,446.0,505.0,101.84792585025971,26
4.5,273.5,515.0,102.44022647378324,26
14.5,347.5,519.0,27.85677655436824,26
10.5,202.5,533.5,41.048751503547585,26
27.0,292.0,542.5,39.06404996924922,26
16.0,440.0,551.0,101.84792585025971,26
15.0,404.0,596.0,60.44832503882965,26
5.5,324.0,597.0,38.79432948254165,26
26.0,333.5,625.5,83.17451532771321,26
26.0,282.5,626.5,41.6293165929973,26
9.0,294.0,687.5,53.94441583704471,26
17.0,262.5,258.5,64.91532946846992,27
17.0,188.0,279.0,45.12205669071391,27
4.5,314.5,318.0,58.39520528262573,27
11.0,437.0,334.5,47.644516998286385,27
27.5,251.5,352.5,36.52396473549935,27
3.0,304.0,363.5,98.11218069128827,27
16.0,493.5,372.0,73.3621155638249,27
4.0,339.5,377.0,98.11218069128827,27
8.0,251.0,390.5,69.32532004974806,27
16.5,176.5,440.5,89.16277250063504,27
14.0,213.0,450.5,89.16277250063504,27
16.0,390.0,460.0,46.45427859734774,27
7.0,296.5,469.0,41.14608122288197,27
15.0,438.0,505.5,60.71243694664216,27
5.0,263.0,513.0,62.65780079128216,27
14.5,344.5,522.0,68.30812543175226,27
27.0,292.5,540.5,50.80354318352215,27
18.5,423.0,551.0,47.21228653645151,27
14.0,235.5,555.0,66.71581521648372,27
3.0,318.5,560.5,28.879058156387302,27
13.0,401.5,600.0,78.71467461661771,27
7.5,316.5,600.5,47.81213235152768,27
25.0,279.5,630.5,50.0999001995014,27
17.5,322.0,662.5,117.13667231059623,27
8.5,287.0,690.0,117.13667231059623,27
